semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
361,Rua da Hora ,Rua Amélia(J. L. Silveira),ESPINHEIRO,-8.046217,-34.894335,E/Git,Veicular,1.0,funcionando
362,Rua Regueira Costa,Rua Dr. José Maria,ROSARINHO,-8.035400,-34.89845,E/Git,Veicular,1.0,funcionando
363,Rua das Moças,Rua Constância,ARRUDA,-8.016591,-34.883967,E,Veicular,1.0,funcionando
364,Av. Norte Miguel Arraes de Alencar,Rua Prof. José dos Anjos,MANGABEIRA,-8.026245,-34.90549,E/Git,Veicular,1.0,funcionando
365,Av. João de Barros,Rua Joaquim Felipe,BOA VISTA,-8.053189,-34.889967,E,Veicular,1.0,funcionando
366,Av. Cons. Aguiar,Rua França Pereira,BOA VIAGEM,-8.106144,-34.889082,E/Git,Ocasional/Ped.,1.0,funcionando
367,Rua Sport Club do Recife,Rua José Múcio Monteiro,ILHA DO RETIRO,-8.061485,-34.902625,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
368,Av. Joaquim Ribeiro,Rua Francisco Torres,VÁRZEA,-8.030295,-34.957363,E/Git,Veicular,1.0,funcionando
369,Rua Padre Lemos,Em frente aos CORREIOS,CASA AMARELA,-8.022337,-34.919695,E,Ocasional/Ped.,1.0,funcionando
370,Av. 17 de Agosto,Praça do Monteiro,MONTEIRO,-8.027749,-34.928219,E/Git,Ocasional/Ped.,1.0,funcionando
371,Av. Gal. San Martin,Próximo a Rua Sigismundo Cabral de Melo,SAN MARTIN,-8.073416,-34.929589,E,Ocasional/Ped.,1.0,funcionando
372,Av. 17 de Agosto,Praça de Casa Forte ,CASA FORTE,-8.035731,-34.920195,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
373,Rua Estado de Israel,Rua Dr. João Ásfora,ILHA DO LEITE,-8.063488,-34.894867,E/Git,Veicular,1.0,funcionando
374,Av. Professor Luiz Freire,Em frente à CEFET,CIDADE UNIVERSITÁRIA,-8.058509,-34.949579,E,Ocasional/Ped.,1.0,funcionando
375,Av. Abdias de Carvalho,Av. do Forte,TORRÕES,-8.062545,-34.932194,E/Git,Veic.C/Ped.,1.0,funcionando
376,Av. Norte Miguel Arraes de Alencar,Rua Guadalupe,TORREÃO,-8.040395,-34.886885,E/Git,Veicular,1.0,funcionando
377,Rua Marechal Deodoro,Rua Castro Alves,TORREÃO,-8.039653,-34.887309,E/Git,Veicular,1.0,funcionando
378,Av. Gov. Agamenon Magalhães,"Em frente ao Nº 674, (Sentido Olinda)",SANTO AMARO,-8.041235,-34.881592,E/Git,Ocasional/Ped.,1.0,funcionando
379,Av. Gov. Agamenon Magalhães,Em frente ao Ed.Visgueiro Nº1330,TORREÃO,-8.040896,-34.881825,E/Git,Ocasional/Ped.,1.0,funcionando
380,Av. Domingos Ferreira,Rua Artur Muniz,BOA VIAGEM,-8.104002,-34.888953,E/Git,Veicular,1.0,funcionando
381,Av. Dantas Barreto,Rua Tobias Barreto(Pista Leste),SANTO ANTÔNIO,-8.067750,-34.880055,E/Git,Ocasional/Ped.,1.0,funcionando
382,Av. Dantas Barreto,Rua Tobias Barreto,SANTO ANTÔNIO,-8.067598,-34.880289,E/Git,Veicular,1.0,funcionando
383,Cais de Santa Rita,Av. Martins de Barros,SÃO JOSÉ,-8.067341,-34.875618,E/Git,Veicular,1.0,funcionando
384,Av. Dantas Barreto,Rua Passo da Pátria(Central),SANTO ANTÔNIO,-8.069285,-34.881638,E/Git,Ocasional/Ped.,1.0,funcionando
385,Av. Mascarenhas de Morais,Rua Muritiba,IMBIRIBEIRA,-8.112542,-34.91262,E/Git,Veicular,1.0,funcionando
386,Av. Mascarenhas de Morais,Rua Itacaré,IMBIRIBEIRA,-8.111426,-34.912393,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
387,Av. Beira Rio,Rua José Osório,MADALENA,-8.053042,-34.90473,E/Git,Veic.C/Ped.,1.0,funcionando
388,Av. Beberibe,Av. Cidade do Monteiro,CAJUEIRO,-8.009337,-34.889131,E,Veicular,1.0,funcionando
389,Av. 17 de Agosto,Em frente ao C.P.O.R.,SANTANA,-8.037942,-34.918009,E/Git,Veic.c/Ped.Ocas.,1.0,funcionando
390,Estrada dos Remédios,Rua Tabaiares,ILHA DO RETIRO,-8.065242,-34.908034,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
391,Rua São Miguel,Em frente ao Nº 685,AFOGADOS,-8.080499,-34.912906,E,Ocasional/Ped.,1.0,funcionando
392,Rua São Miguel,Rua do Troley,JIQUIÁ,-8.080911,-34.919408,E,Ocasional/Ped.,1.0,funcionando
393,Av. Recife,Rua Gonçalves Magalhães,VILA DA SUDENE,-8.120308,-34.919456,E/Git,Veicular,1.0,funcionando
394,Estrada Velha do Bongi ,Estrada dos Remédios,BONGI,-8.068958,-34.908466,E,Veic.C/Ped.Paral.,1.0,funcionando
395,Rua Lindolfo Collor,Rua Antônio Curado,ENGENHO DO MEIO,-8.052412,-34.94134,E,Veicular,1.0,funcionando
396,Rua Olívia Menelau,Av. Mascarenhas de Morais,IMBIRIBEIRA,-8.091147,-34.908513,E/Git,Veicular,1.0,funcionando
397,Av. Norte Miguel Arraes de Alencar,Em frente ao Nº 886,SANTO AMARO,-8.044930,-34.880372,E/Git,Ocasional/Ped.,1.0,funcionando
398,Av. Beberibe,Em frente ao Nº 4510,BEBERIBE,-8.004059,-34.897083,E,Ocasional/Ped.,1.0,funcionando
399,Rua Arquiteto Luis Nunes,Rua Álvaro Amorim,IMBIRIBEIRA,-8.086460,-34.909649,E/Git,Ocasional/Ped.,1.0,funcionando
400,Av. Desembargador José Neves,Entrada do Túnel Augusto Lucena sent C/S,BOA VIAGEM,-8.121305,-34.909783,E/DIG,Ocasional/Ped.,,funcionando
401,Rua Dom Bosco,Em frente ao Batalhão da Rádio Patrulha,BOA VISTA,-8.057437,-34.894809,E/Git,Ocasional/Ped.,1.0,funcionando
402,Av. Gal.Mac. Arthur,Rua Jorge de Lima,IMBIRIBEIRA,-8.109790,-34.907568,E/Git,Ocasional/Ped.,1.0,funcionando
403,Av. Gal.San Martin,Em frente aos CORREIOS,CORDEIRO,-8.058427,-34.925094,E,Ocasional/Ped.,1.0,funcionando
404,Estrada do Arraial,Rua Padre Lemos,CASA AMARELA,-8.026759,-34.917731,E/Git,Veic.c/Ped.Ocas.,1.0,funcionando
405,Av. Beberibe,Rua Júlio Ramos,ÁGUA FRIA,-8.019664,-34.89455,E,Veic.c/Ped.Ocas.,1.0,funcionando
406,Rua do Futuro,Em frente ao Parque da Jaqueira,SANTO AMARO,-8.04561,-34.88999,E/Git,Ocasional/Ped.,1.0,funcionando
407,Rua Barão de Souza Leão,Em frente ao Colégio Santos Dumont,BOA VIAGEM,-8.132167,-34.907281,E/Git,Ocasional/Ped.,1.0,funcionando
408,Rua da Concórdia,Praça Sérgio Loreto,SÃO JOSÉ,-8.071999,-34.884642,E/Git,Veicular,1.0,funcionando
409,Rua Conde de Irajá,Praça da Torre,TORRE,-8.047001,-34.913636,E,Ocasional/Ped.,1.0,funcionando
410,Av. 17 de Agosto,Em frente ao Colégio Mater Christi,CASA FORTE,-8.032824,-34.923126,E,Ocasional/Ped.,1.0,funcionando
411,Rua Falcão de Lacerda,Em frente ao Colégio Barão de Rio Branco,TEJIPIÓ,-8.091702,-34.960211,E,Ocasional/Ped.,1.0,funcionando
412,Av. João de Barros,Rua Dom Vital,SANTO AMARO,-8.046496,-34.889856,E,Ocasional/Ped.,1.0,funcionando
413,Av. Visconde de Albuquerque,Em frente ao Hospial D'Ávila,MADALENA,-8.052039,-34.906643,E/Git,Ocasional/Ped.,1.0,funcionando
414,Rua Imperial,Em frente ao Nº 363,SÃO JOSÉ,-8.071947,-34.882129,E/Git,Pedestre,1.0,funcionando
415,Av. 17 de Agosto,Rua Virgínia Loreto,PARNAMIRIM,-8.034731,-34.911633,E/Git,Ocasional/Ped.,1.0,funcionando
416,Av. Dois Irmãos,BR-101,DOIS IRMÃOS,-8.016837,-34.940941,E/Git,Veicular,1.0,funcionando
417,Av. Gov. Agamenon Magalhães,Praça do Derby (pista Sul),DERBY,-8.057480,-34.898221,E/Git,Veicular,1.0,funcionando
418,Praça do Derby (pista Sul),Rua Jenner de Souza,DERBY,-8.057518,-34.90007,E/Git,Veicular,1.0,funcionando
419,Av. Conselheiro Aguiar,Rua Barão de Souza Leão,BOA VIAGEM,-8.132069,-34.901564,E/Git,Veicular,1.0,funcionando
420,Rua Capitão Zuzinha,Rua Sá e Souza,SETÚBAL,-8.134801,-34.906262,E/GIt,Veicular,1.0,funcionando
421,Estrada do Arraial,Rua Sebastião Alves,VILA DOS COMERCIÁRIOS,-8.031005,-34.905445,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
422,Av. Abdias de Carvalho,Rua 15 de Março,TORRÕES,-8.061639,-34.930046,E/Git,Veicular,1.0,funcionando
423,Rua São Miguel,Rua Odilon Tucuman,AFOGADOS,-8.080699,-34.914588,E,Ocasional/Ped.,1.0,funcionando
424,Av. Norte Miguel Arraes de Alencar,Rua Bujarú,ALTO DO MANDÚ,-8.018246,-34.928354,E,Ocasional/Ped.,1.0,funcionando
425,Rua São Miguel,Em frente ao Nº 1808,JIQUIÁ,-8.081843,-34.92285,E,Ocasional/Ped.,1.0,funcionando
426,Rua Cosme Viana,Rua Doutor Adelino,AFOGADOS,-8.075838,-34.909021,E/Git,Veicular,1.0,funcionando
427,Rua Treze de Maio,Rua Pedro Afonso,SANTO AMARO,-8.049454,-34.881627,E/Git,Veicular,,funcionando
428,Rua 13 de Maio,Av. Da Saudade,SANTO AMARO,-8.051091,-34.882771,E/Git,Veicular,1.0,funcionando
429,Rua da Aurora,Rua Mamede Simões,BOA VISTA,-8.058434,-34.879286,E,Ocasional/Ped.,1.0,funcionando
430,Rua Cosme Viana,Rua Cel.Alfredo Duarte,BONGI,-8.071477,-34.909389,E/Git,Veicular,1.0,funcionando
431,Rua Alegre,Rua Zeferino Agra,ÁGUA FRIA,-8.021129,-34.893056,E,Ocasional/Ped.,1.0,funcionando
432,Rua Guilherme Pinto,Em frente ao Instituto dos Cegos,GRAÇAS,-8.052197,-34.902136,E/Git,Ocasional/Ped.,1.0,funcionando
433,Av. Visconde de Jequitinhonha,Rua Capitão Zuzinha,BOA VIAGEM,-8.133035,-34.902852,E/Git,Veicular,1.0,funcionando
434,Av. Dr. José Rufino,Rua do Sancho,SANCHO,-8.090909,-34.957331,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
435,Rua da Harmonia,Estrada do Encanamento,CASA FORTE,-8.031533,-34.915277,E/Git,Veicular,1.0,funcionando
436,Cais do Apolo,Av. Militar,BAIRRO DO RECIFE,-8.053540,-34.871839,E/Git,Veicular,1.0,funcionando
437,Rua 10 de Julho,Av. Dom João VI (canal do Jordão),BOA VIAGEM,-8.135802,-34.908452,E/Git,Veicular,1.0,funcionando
438,Av. Boa Viagem,Próximo à Rua Verdes Mares,BOA VIAGEM,-8.135429,-34.901386,E/Git,Ocasional/Ped.,1.0,funcionando
439,Av. Mascarenhas de Morais,Em Frente ao Nº 2727,IMBIRIBEIRA,-8.106415,-34.911255,E/Git,Ocasional/Ped.,1.0,funcionando
440,Av. Liberdade,Rua Juvêncio Marques da Cunha,TOTÓ,-8.081032,-34.968542,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
441,Av. Armindo Moura,Rua Cosmorama,PORTA LARGA,-8.148718,-34.914016,E/Git,Veicular,1.0,funcionando
442,Rua Sgt. Silvino Macedo,Rua Antônio Torres Galvão,IMBIRIBEIRA,-8.112050,-34.906685,E/Git,Veicular,1.0,funcionando
443,Av. Visconde de Jequitinhonha,Rua Charles Darwin,BOA VIAGEM,-8.130714,-34.902615,E/Git,Ocasional/Ped.,1.0,funcionando
444,Av. Domingos Ferreira,Rua Cel. Sérgio Cardim,BOA VIAGEM,-8.130575,-34.902075,E/Git,Ocasional/Ped.,1.0,funcionando
445,Av. Boa Viagem,Rua Zael Diógenes,BOA VIAGEM,-8.139063,-34.902598,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
446,Estrada do Arraial,Em frenteao nº 2926 (Instituto Ariano Suassuna),CASA AMARELA,-8.029410,-34.9083,E/Git,Ocasional/Ped.,1.0,funcionando
447,Rua Uriel de Holanda,Av. Hildebrando Vasconcelos,BEBERIBE,-8.004139,-34.899555,E,Veic.C/Ped.Ocas.,1.0,funcionando
448,Rua Souza Bandeira,Rua Tomaz Gonzaga,CORDEIRO,-8.048884,-34.917864,E/Git,Veicular,1.0,funcionando
449,Rua Jean Emile Favre,Rua Itacari,IPSEP,-8.107902,-34.915933,E,Veicular,1.0,funcionando
450,Rua Pampulha,Rua Izabel de Souza,IMBIRIBEIRA,-8.109840,-34.912939,E/Git,Veicular,1.0,funcionando
451,Av. Norte Miguel Arraes de Alencar,Rua Tijucal,MACAXEIRA,-8.013432,-34.931481,E/Git,Veicular,1.0,funcionando
452,Av. Rui Barbosa,Em frente ao Parque da Jaqueira,JAQUEIRA,-8.037930,-34.905533,E/Git,Ocasional/Ped.,1.0,funcionando
453,Cais do Apolo,Em frente ao Tribunal Regional Federal,RECIFE ANTIGO,-8.058771,-34.87258,E/Git,Ocasional/Ped.,1.0,funcionando
454,Cais do Apolo,Em frente a Praça Tiradentes ,BAIRRO DO RECIFE,-8.058860,-34.872457,E/Git,Ocasional/Ped.,1.0,funcionando
455,Av.Cruz Cabugá,Em frente a Praça Abreu e Lima,SANTO AMARO,-8.046964,-34.876507,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
456,Av. Norte Miguel Arraes de Alencar,Rua Salvador de Sá,ROSARINHO,-8.031505,-34.898032,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
457,Av. Cruz Cabugá,Rua Araripina,SANTO AMARO,-8.050455,-34.87904,E,Ocasional/Ped.,1.0,funcionando
458,Estrada de Belém,Rua Gonçalves Dias,CAMPO GRANDE,-8.032065,-34.877881,E,Veic.C/Ped.,1.0,funcionando
459,Av. Conselheiro Rosa e Silva,Rua Conselheiro Portela,ESPINHEIRO,-8.043634,-34.897365,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
460,Av. Parnamirim,Rua Leonardo Bezerra Cavalcante,JAQUEIRA,-8.035814,-34.906837,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
461,Av. Recife,Próximo ao Supermercado Makro,VILA TAMANDARÉ,-8.088813,-34.929836,E/Git,Ocasional/Ped.,1.0,funcionando
462,Estrada do Encanamento,Rua Ferreira Lopes,PARNAMIRIM,-8.032263,-34.912967,E/Git,Veicular,1.0,funcionando
463,Av. Norte Miguel Arraes de Alencar,Rua Vinte e Quatro de Agosto,SANTO AMARO,-8.049120,-34.874913,E/Git,Veicular,,funcionando
464,Rua Conselheiro Portela,Rua Barão de Itamaracá,ESPINHEIRO,-8.042562,-34.894676,E/Git,Veicular,1.0,funcionando
465,Av. Gov. Agamenon Magalhães,Em frente à Reitoria da FESP/UPE,SANTO AMARO,-8.043816,-34.887198,E/Git,Ocasional/Ped.,1.0,funcionando
466,Rua do Príncipe,Em frente ao Hospital Geral do Recife,BOA VISTA,-8.057845,-34.883644,E/Git,Pedestre,1.0,funcionando
467,Rua Barão de Vitória,Em frente a Estação Central RFFSA,SANTO ANTÔNIO,-8.066941,-34.883257,E,Pedestre,1.0,funcionando
468,Av. Cruz Cabugá,Ao lado do Shopping Tacaruna,SANTO AMARO,-8.039662,-34.871386,E/Git,Ocasional/Ped.,1.0,funcionando
469,Av. 17 de Agosto,Rua Jader de Andrade,CASA FORTE,-8.033854,-34.922021,E/Git,Veicular,1.0,funcionando
470,Av. Cruz Cabugá,Em frente ao Nº 1920 (Sent. Olinda),SANTO AMARO,-8.039706,-34.871276,E/Git,Ocasional/Ped.,1.0,funcionando
471,Av. Masc. de Morais,Rua João Fontes,IMBIRIBEIRA,-8.125187,-34.914922,E/Git,Veicular,1.0,funcionando
472,Rua das Moças,Rua da Regeneração,FUNDÃO,-8.021438,-34.886511,E,Veicular,1.0,funcionando
473,Ponte 12 de Setembro,Cais de Santa Rita,SANTO ANTÔNIO,-8.068208,-34.874704,E/Git,Veicular,1.0,funcionando
474,Av. Cruz Cabugá,Em frente ao Hospital do Câncer,SANTO AMARO,-8.042124,-34.873114,E/Git,Ocasional/Ped.,1.0,funcionando
475,Av. Dois Rios,Rua Rio Chuí,IBURA,-8.115407,-34.940297,E/Git,Ocasional/Ped.,1.0,funcionando
476,Rua Barão de Souza Leão,Rua Desembargador José Neves,BOA VIAGEM,-8.132819,-34.91101,E/GIt,Veicular,1.0,funcionando
477,Rua Madre de Deus,Av. Alfredo Lisboa,RECIFE ANTIGO,-8.066185,-34.873324,E/Git,Veicular,1.0,funcionando
478,Rua Cosmorama,Rua João Cardoso Aires,SETÚBAL,-8.141132,-34.911158,E/Git,Veicular,1.0,funcionando
479,Av. Cruz Cabugá,Rua F. Barreto,SANTO AMARO,-8.042155,-34.873047,E/Git,Ocasional/Ped.,1.0,funcionando
480,Av. Beberibe,Em frente ao Nº 621,ENCRUZILHADA,-8.031910,-34.892,E/Git,Ocasional/Ped.,1.0,funcionando
481,Rua Sport Club do Recife,Rua Prof.Benedito Monteiro,ILHA DO RETIRO,-8.061132,-34.90401,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
482,Av. Do Forte,Em frente a Praça do Forte,CORDEIRO,-8.058380,-34.931269,E,Ocasional/Ped.,1.0,funcionando
483,Av. Boa Viagem,Rua Vicente Gomes,BOA VIAGEM,-8.133277,-34.900494,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
484,Av. Domingos Ferreira,Rua Henrique Capitulino,BOA VIAGEM,-8.109199,-34.891495,E/Git,Ocasional/Ped.,1.0,funcionando
485,Rua Leonardo Cavalcante,Rua Igarassu,CASA FORTE,-8.037736,-34.911764,E,Veicular,1.0,funcionando
486,Av. Conde da Boa Vista,Rua Sete de Setembro,BOA VISTA,-8.061073,-34.883421,E/Git,Ocasional/Ped.,1.0,funcionando
487,Rua José Bonifácio,Rua Marcos André,TORRE,-8.041003,-34.908696,E/Git,Veicular,1.0,funcionando
488,Praça da República,Em frente ao Palácio das Princesas,SANTO ANTÔNIO,-8.060398,-34.877658,E,Ocasional/Ped.,1.0,funcionando
489,Av. Caxangá,Rua José Osório,ZUMBI,-8.054367,-34.913983,E/Git,Veicular,1.0,funcionando
490,Av. Frei Matias Teves,Rua Francisco Alves,ILHA DO LEITE,-8.066542,-34.895424,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
491,Av. Dr. José Rufino,Em frente à Igreja de Santa Luzia,AREIAS,-8.086622,-34.930909,E,Ocasional/Ped.,1.0,funcionando
492,Av. Beberibe,Rua Ramiz Galvão,ARRUDA,-8.025192,-34.893494,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
493,Rua Arquiteto Luiz Nunes,Em frente ao Nº 551,IMBIRIBEIRA,-8.088835,-34.910229,E/Git,Ocasional/Ped.,1.0,funcionando
494,Av. Recife,Rua Gregório Caldas,VILA CARDEAL SILVA,-8.096045,-34.928796,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
495,Rua Mem de Sá,Rua Prof. Jerônimo Gueiros,ARRUDA,-8.029678,-34.889778,E,Veicular,1.0,funcionando
496,Rua Ribeiro de Brito,Rua Agenor Lopes,BOA VIAGEM,-8.122962,-34.905851,E/Git,Veicular,1.0,funcionando
497,Av. Dr. José Rufino,Em frente a Estação do Metrô,SANCHO,-8.090773,-34.956702,E/Git,Ocasional/Ped.,1.0,funcionando
498,Rua Joaquim Nabuco,Rua Guilherme Pinto,DERBY,-8.052791,-34.902218,E/Git,Veicular,1.0,funcionando
499,Rua Cosme Viana,Rua Pe. Teófilo Twortz,PRADO,-8.064945,-34.909022,E,Veic.c/Ped.Ocas.,1.0,funcionando
500,Av. Dois Irmãos,Rua Mandacaru,APIPUCOS,-8.021975,-34.931659,E,Veicular,1.0,funcionando
501,Av. Mascarenhas de Morais,"Proxímo a Estrada dos Frigoríficos,",IMBIRIBEIRA,-8.103560,-34.910724,E/Git,Ocasional/Ped.,1.0,funcionando
502,Av. Mascarenhas de Morais,Rua Itália,IMBIRIBEIRA,-8.103214,-34.910852,E/Git,Ocasional/Ped.,1.0,funcionando
503,Rua João Ivo da Silva,Próx. a Rua Teófilo Twortz,PRADO,-8.065091,-34.90918,E,Ocasional/Ped.,1.0,funcionando
504,Estrada de Belém,Rua Fonseca de Oliveira,CAMPO GRANDE,-8.033870,-34.885821,E,Veic.c/Ped.Ocas.,1.0,funcionando
505,Rua São Nicolau,Rua Hélio Brandão,IPSEP,-8.106765,-34.92586,E/Git,Veicular,1.0,funcionando
506,Av. Dr. José Rufino,Próximo ao SENAI,AREIAS,-8.089689,-34.933992,E,Ocasional/Ped.,1.0,funcionando
507,Av. São Paulo,Rua Leandro Barreto,JARDIM SÃO PAULO,-8.079773,-34.940728,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
508,Rua Francisco Alves,Praça Miguel de Cervante,ILHA DO LEITE,-8.067278,-34.89383,E,Veicular,1.0,funcionando
509,Av. Sul,Rua Padre José de Sá Leitão,SÃO JOSÉ,-8.075179,-34.889954,E/Git,Veicular,1.0,funcionando
510,Rua Imperial,Travessa do Raposo,SÃO JOSÉ,-8.074596,-34.890171,E/Git,Veicular,1.0,funcionando
511,Rua Imperial,Travessa do Azevedo,SÃO JOSÉ,-8.074426,-34.889726,E/Git,Veicular,1.0,funcionando
512,Av. Rio Largo,Av. Doze de Junho,IBURA,-8.112915,-34.953042,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
513,Rua Conselheiro Teodoro,Rua Tomás Gonzaga,CORDEIRO,-8.049306,-34.915263,E,Veic.C/Ped.Ocas.,1.0,funcionando
514,Av. Beberibe,Em frente ao Nº 4277,PORTO DA MADEIRA,-8.004510,-34.8951,E,Ocasional/Ped.,1.0,funcionando
515,Rua Benfica,Praça Euclides da Cunha,MADALENA,-8.058326,-34.904122,E/Git,Veicular,1.0,funcionando
516,Praça do Derby,Estação BRT Derby (Sub/Cid),DERBY,-8.056757,-34.899417,E/Git,Ocasional/Ped.,1.0,funcionando
517,Av. Beberibe,Em frente ao Instituto Sto. Amaro,PORTO DA MADEIRA,-8.007460,-34.890337,E,Ocasional/Ped.,1.0,funcionando
518,Av. Dois Rios,Rua Jornalista Edson Regis,IBURA,-8.109113,-34.935269,E/Git,Veicular,1.0,funcionando
519,Rua Prof. Eduardo Wanderley Filho,Em frente ao Nº 110,AFOGADOS,-8.082546,-34.907681,E,Ocasional/Ped.,1.0,funcionando
520,Rua Acadêmico Hélio Ramos,Rua Amaro Poroca,CIDADE UNIVERSITÁRIA,-8.049597,-34.954629,E,Veic.c/Ped.Ocas.,1.0,funcionando
521,Rua Conselheiro Portela,Rua do Futuro,GRAÇAS,-8.043868,-34.898305,E/Git,Veicular,1.0,funcionando
522,Av. Coselheiro Rosa e Silva,Rua Antenor Navarro,ROSARINHO,-8.036899,-34.901582,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
523,Av. Cruz Cabugá,Em frente ao Nº 212,SANTO AMARO,-8.052469,-34.880509,E,Ocasional/Ped.,1.0,funcionando
524,Estrada dos Remédios,Rua Inconfidentes,BONGI,-8.070979,-34.908135,E,Ocasional/Ped.,1.0,funcionando
525,Rua Cosme Viana,Rua 3 de Agosto,BONGI,-8.074565,-34.908909,E/Git,Veicular,1.0,funcionando
526,Rua Álvares de Azevedo,Rua dos Palmares ,SANTO AMARO,-8.048964,-34.887773,E,Veicular,1.0,funcionando
527,Rua Jean Emile Favre,Rua Francisco Barreto,IPSEP,-8.111191,-34.919728,E,Veic.C/Ped.,1.0,funcionando
528,Rua Paz,Rua João Carlos Guimarães,AFOGADOS,-8.080049,-34.905238,E/Git,Ocasional/Ped.,1.0,funcionando
529,Av. Armindo Moura,Ernesto de Souza Leão Rua,BOA VIAGEM,-8.149344,-34.912376,E/GIt,Ocasional/Ped.,1.0,funcionando
530,Av. Mascarenhas de Morais,Em Frente a UNIBRATEC,IMBIRIBEIRA,-8.127410,-34.9153,E/Git,Ocasional/Ped.,1.0,funcionando
531,Av. Mascarenhas de Morais,Av. Recife,IMBIRIBEIRA,-8.127376,-34.915543,E/Git,Ocasional/Ped.,1.0,funcionando
532,Av. Mascarenhas de Morais,Rua Dr. Waldir Pessoa,IMBIRIBEIRA,-8.090385,-34.908351,E/Git,Veicular,1.0,funcionando
533,Av. Caxangá,Estrada do Barbalho,IPUTINGA,-8.039323,-34.941192,E/Git,Veicular,1.0,funcionando
534,Av. Mascarenhas de Morais,Rua Pampulha,IMBIRIBEIRA,-8.110056,-34.912126,E/Git,Veicular,1.0,funcionando
535,Av. Apipucos,Proxímo Colégio Candido Duarte,APIPUCOS,-8.020359,-34.939602,E,Ocasional/Ped.,1.0,funcionando
536,Rua da Regeneração,Rua do Machado,FUNDÃO,-8.020558,-34.88883,E,Veicular,1.0,funcionando
537,Rua Arquiteto Luiz Nunes,Av. Pinheiros,IMBIRIBEIRA,-8.090983,-34.910663,E/Git,Veic.C/Ped.Ocas.,1.0,funcionando
538,Av. Antônio de Góis,Rua José Mariano Filho,PINA,-8.087182,-34.884907,E/Git,Veic.C/Ped.Paral.,1.0,funcionando
